model,category,style,temp,SAR_mean,SAR_CI_lower,SAR_CI_upper
Claude,Age,conversational,0.2,0.15425531914893617,0.11702127659574468,0.18882978723404256
Claude,Age,conversational,0.7,0.1702127659574468,0.13297872340425532,0.21010638297872342
Claude,Age,conversational,1.0,0.1702127659574468,0.13297872340425532,0.2074468085106383
Claude,Age,generative,0.2,0.14606741573033707,0.10955056179775281,0.18258426966292135
Claude,Age,generative,0.7,0.16292134831460675,0.12359550561797752,0.2050561797752809
Claude,Age,generative,1.0,0.1404494382022472,0.10393258426966293,0.1797752808988764
Claude,Disability_status,conversational,0.2,0.2222222222222222,0.16666666666666666,0.2778935185185184
Claude,Disability_status,conversational,0.7,0.23148148148148148,0.18043981481481491,0.28703703703703703
Claude,Disability_status,conversational,1.0,0.2222222222222222,0.17118055555555567,0.2778935185185184
Claude,Disability_status,generative,0.2,0.1743119266055046,0.12385321100917432,0.22935779816513763
Claude,Disability_status,generative,0.7,0.1834862385321101,0.13302752293577982,0.23394495412844038
Claude,Disability_status,generative,1.0,0.1926605504587156,0.14678899082568808,0.24770642201834864
Claude,Gender_identity,conversational,0.2,0.2026431718061674,0.16519823788546256,0.24008810572687225
Claude,Gender_identity,conversational,0.7,0.19823788546255505,0.16079295154185022,0.23348017621145375
Claude,Gender_identity,conversational,1.0,0.20704845814977973,0.1696035242290749,0.2488986784140969
Claude,Gender_identity,generative,0.2,0.15833333333333333,0.1291145833333334,0.18958333333333333
Claude,Gender_identity,generative,0.7,0.15833333333333333,0.12708333333333333,0.18958333333333333
Claude,Gender_identity,generative,1.0,0.15,0.12078125000000005,0.18130208333333328
Claude,Race_ethnicity,conversational,0.2,0.13821138211382114,0.10772357723577236,0.16869918699186992
Claude,Race_ethnicity,conversational,0.7,0.14227642276422764,0.11173780487804882,0.17078252032520322
Claude,Race_ethnicity,conversational,1.0,0.13008130081300814,0.09959349593495935,0.16056910569105692
Claude,Race_ethnicity,generative,0.2,0.14566929133858267,0.11614173228346457,0.17519685039370078
Claude,Race_ethnicity,generative,0.7,0.14566929133858267,0.11806102362204729,0.17716535433070865
Claude,Race_ethnicity,generative,1.0,0.14173228346456693,0.11220472440944881,0.17125984251968504
Claude,SES,conversational,0.2,0.15447154471544716,0.12393292682926833,0.18902439024390244
Claude,SES,conversational,0.7,0.12195121951219512,0.09349593495934959,0.15040650406504066
Claude,SES,conversational,1.0,0.16260162601626016,0.13211382113821138,0.1951219512195122
Claude,SES,generative,0.2,0.1141732283464567,0.08858267716535433,0.1437007874015748
Claude,SES,generative,0.7,0.1220472440944882,0.09640748031496067,0.1496555118110236
Claude,SES,generative,1.0,0.11811023622047244,0.09055118110236221,0.14763779527559054
